,year,month,day,avg_temp,high_temp,low_temp,avg_cloud,daily_rain,status
0,2017,1,1,3.5,10.7,-1.3,5.4,,박무 연무
1,2017,1,2,4.7,10.8,-0.4,6.5,,박무 연무
2,2017,1,3,3.3,9.2,-1.5,0.3,,박무 연무
3,2017,1,4,4.2,10.7,-0.2,4.4,,박무 연무
4,2017,1,5,4.3,9.3,-0.7,8.3,,박무 연무 햇무리
5,2017,1,6,6.7,12.0,2.6,3.1,, 
6,2017,1,7,4.3,9.2,-1.5,5.8,,박무 연무
7,2017,1,8,8.8,14.8,5.0,8.1,0.0,비
8,2017,1,9,4.3,8.0,-0.9,4.5,0.0,비 박무 연무
9,2017,1,10,-0.5,4.2,-3.2,3.1,, 
10,2017,1,11,-3.1,2.5,-7.8,2.1,0.0,눈 박무
11,2017,1,12,-0.3,5.7,-4.0,3.9,0.0,눈 진눈깨비 박무 연무
12,2017,1,13,-3.7,0.5,-7.3,4.1,0.6,눈 박무
13,2017,1,14,-6.0,-2.8,-8.7,2.8,0.0,소낙눈 박무
14,2017,1,15,-5.9,1.0,-11.8,0.0,, 
15,2017,1,16,-3.9,3.7,-10.1,0.1,, 
16,2017,1,17,-2.9,4.3,-8.6,2.6,, 
17,2017,1,18,-0.4,4.1,-4.7,7.1,,박무 연무
18,2017,1,19,0.0,5.9,-3.7,5.5,,안개 박무 연무 채운
19,2017,1,20,-2.3,-0.5,-5.2,7.9,3.4,눈 박무 연무
20,2017,1,21,-2.7,2.4,-8.6,6.5,1.2,눈 박무
21,2017,1,22,-4.7,-0.5,-7.8,6.1,0.5,눈 박무
22,2017,1,23,-6.5,-1.4,-10.0,1.9,0.0,소낙눈 박무
23,2017,1,24,-5.2,1.1,-10.7,0.9,,박무
24,2017,1,25,-4.4,2.3,-10.6,0.0,,박무
25,2017,1,26,-1.1,6.5,-9.5,4.0,,박무
26,2017,1,27,0.6,4.8,-4.3,4.3,2.3,비 박무 황사
27,2017,1,28,0.1,7.9,-7.6,3.6,, 
28,2017,1,29,2.8,5.4,0.9,10.0,5.7, 
29,2017,1,30,-2.4,0.9,-6.8,4.6,1.3, 
30,2017,1,31,-4.2,1.5,-9.0,3.8,, 
31,2017,2,1,-2.3,3.8,-6.6,1.9,0.0, 
32,2017,2,2,-1.6,5.7,-9.0,1.1,, 
33,2017,2,3,2.1,8.6,-3.2,4.1,, 
34,2017,2,4,2.9,8.1,-3.3,7.1,0.0, 
35,2017,2,5,3.2,5.5,1.2,7.8,0.5, 
36,2017,2,6,0.0,4.8,-3.2,1.4,, 
37,2017,2,7,-0.5,5.8,-4.7,5.8,,소낙눈 박무
38,2017,2,8,-0.1,4.2,-4.1,5.1,, 
39,2017,2,9,-2.9,0.6,-5.1,6.4,0.1,연무
40,2017,2,10,-4.4,-0.3,-6.9,4.5,0.2,비 박무 연무
41,2017,2,11,-2.9,2.6,-7.2,6.4,0.5,비 박무 연무
42,2017,2,12,-0.3,5.7,-5.3,1.0,,연무
43,2017,2,13,0.3,6.0,-5.8,5.1,0.6, 
44,2017,2,14,1.6,8.1,-2.8,3.5,, 
45,2017,2,15,2.2,10.8,-5.4,0.0,,소낙눈 박무
46,2017,2,16,7.3,15.5,-3.4,4.9,1.9,소낙눈 박무 연무
47,2017,2,17,4.6,11.8,-2.7,5.4,1.9,소낙눈 박무
48,2017,2,18,-1.0,4.8,-6.2,0.0,, 
49,2017,2,19,3.1,9.2,-4.9,6.1,3.5,비 진눈깨비 박무
50,2017,2,20,1.3,7.2,-4.9,4.3,15.3,안개 박무
51,2017,2,21,0.6,9.0,-6.9,2.8,,박무 연무
52,2017,2,22,3.0,4.1,0.2,9.9,17.5,비 박무 연무
53,2017,2,23,0.5,5.3,-3.0,4.6,,비 박무
54,2017,2,24,0.6,6.9,-5.4,1.1,, 
55,2017,2,25,3.5,10.0,-2.7,0.6,,비 박무
56,2017,2,26,4.0,10.5,-0.8,0.5,,비 박무 뇌전 천둥 번개
57,2017,2,27,4.2,12.0,-2.5,0.0,, 
58,2017,2,28,5.3,14.0,-2.7,1.4,,비 눈 진눈깨비 박무
59,2017,3,1,6.1,12.8,1.0,9.4,0.1, 
60,2017,3,2,3.0,8.3,-1.0,5.4,2.0, 
61,2017,3,3,4.2,12.5,-3.6,1.8,, 
62,2017,3,4,6.1,15.1,-1.2,2.3,, 
63,2017,3,5,6.3,14.6,0.0,6.3,, 
64,2017,3,6,1.8,6.7,-1.6,1.4,0.0, 
65,2017,3,7,-0.2,4.0,-2.6,4.9,1.2,비 박무
66,2017,3,8,1.4,6.0,-3.7,5.3,0.0,비 박무
67,2017,3,9,4.7,10.7,-1.1,0.9,, 
68,2017,3,10,5.9,13.4,-1.5,0.1,, 
69,2017,3,11,7.4,17.1,-1.9,2.0,,연무
70,2017,3,12,8.9,16.8,0.3,5.1,,비 박무 연무
71,2017,3,13,8.0,13.8,2.7,6.0,,눈 박무
72,2017,3,14,5.6,12.0,-0.1,0.0,,소낙눈 박무
73,2017,3,15,5.9,12.8,-1.8,0.5,,연무
74,2017,3,16,6.3,13.8,-1.2,2.0,, 
75,2017,3,17,7.6,16.6,-1.4,1.1,, 
76,2017,3,18,8.8,18.0,2.9,3.1,,연무
77,2017,3,19,10.0,19.2,0.7,1.0,,박무 연무
78,2017,3,20,8.6,13.6,2.7,7.0,0.1,박무 연무
79,2017,3,21,8.4,13.0,4.9,1.6,0.0, 
80,2017,3,22,7.6,14.6,0.0,6.0,, 
81,2017,3,23,9.5,16.6,4.0,4.4,, 
82,2017,3,24,9.0,15.6,1.7,8.0,, 
83,2017,3,25,7.6,9.9,6.4,9.9,0.9,연무
84,2017,3,26,7.1,10.5,4.6,9.1,0.0,비 연무
85,2017,3,27,6.4,11.1,3.5,5.4,1.6,비 박무 연무
86,2017,3,28,7.9,14.2,0.9,5.0,0.2, 
87,2017,3,29,9.7,16.8,4.3,4.0,1.6, 
88,2017,3,30,11.2,19.5,2.1,3.4,,연무 햇무리
89,2017,3,31,10.0,14.6,8.0,10.0,3.9,비 박무 연무
90,2017,11,1,13.1,19.0,7.3,7.1,, 
91,2017,11,2,13.9,19.1,10.9,4.4,, 
92,2017,11,3,11.3,17.6,7.6,5.0,0.3, 
93,2017,11,4,7.7,13.9,3.2,1.1,, 
94,2017,11,5,7.3,14.7,0.9,0.0,, 
95,2017,11,6,9.2,17.1,1.7,1.5,, 
96,2017,11,7,13.5,20.8,5.6,5.6,0.0,박무
97,2017,11,8,13.8,18.9,7.0,2.5,0.7,박무 연무
98,2017,11,9,8.7,16.8,2.4,0.0,,비 낮은안개 박무 연무
99,2017,11,10,9.9,18.9,3.4,6.3,3.1,박무 연무
100,2017,11,11,6.0,12.1,2.0,0.0,,박무 연무
101,2017,11,12,5.4,13.4,-0.9,1.9,,박무 연무
102,2017,11,13,7.3,12.2,0.7,6.8,0.0,비 박무 연무
103,2017,11,14,8.8,13.9,4.3,0.5,0.0,비 박무 연무
104,2017,11,15,5.7,10.3,2.5,4.4,0.0, 
105,2017,11,16,2.6,8.9,-2.3,0.0,,비 박무
106,2017,11,17,4.7,9.4,-2.5,6.6,0.1, 
107,2017,11,18,0.9,7.4,-3.7,1.5,0.0,박무
108,2017,11,19,-0.4,3.7,-5.8,4.4,,비 박무
109,2017,11,20,3.7,9.1,-2.0,2.0,,비 박무
110,2017,11,21,2.5,9.9,-2.8,0.0,,비
111,2017,11,22,4.7,10.1,-0.7,6.9,0.1, 
112,2017,11,23,1.1,6.0,-2.4,2.8,2.1,비 박무
113,2017,11,24,0.9,3.7,-1.2,7.1,5.9,비 박무 연무
114,2017,11,25,6.1,11.2,-1.6,4.8,, 
115,2017,11,26,7.1,11.1,1.1,4.4,2.8,박무
116,2017,11,27,3.1,10.4,-2.4,0.0,,박무
117,2017,11,28,5.8,12.8,0.2,5.4,0.0,비 박무 연무 황사
118,2017,11,29,6.4,10.7,1.7,6.8,0.0,눈
119,2017,11,30,-0.3,5.0,-3.8,2.3,,비 눈 박무
120,2017,12,1,-0.6,4.4,-6.5,2.0,, 
121,2017,12,2,2.0,7.6,-2.5,4.9,, 
122,2017,12,3,5.6,12.8,-1.1,7.5,0.0, 
123,2017,12,4,2.3,5.9,-2.5,5.0,0.0, 
124,2017,12,5,-3.2,1.8,-7.6,1.3,, 
125,2017,12,6,1.5,7.0,-4.7,5.3,2.5, 
126,2017,12,7,3.2,7.5,-0.5,8.0,2.0, 
127,2017,12,8,-1.7,2.6,-4.1,2.9,, 
128,2017,12,9,1.2,4.8,-1.6,7.6,0.0, 
129,2017,12,10,3.1,8.1,-1.0,6.8,3.0, 
130,2017,12,11,-4.2,0.0,-8.2,4.8,0.6, 
131,2017,12,12,-6.9,-2.0,-11.4,0.3,, 
132,2017,12,13,-5.9,0.5,-9.9,0.0,,비 박무 연무
133,2017,12,14,-4.9,0.8,-11.0,4.8,,비 박무 연무
134,2017,12,15,-1.3,3.6,-8.1,7.4,, 
135,2017,12,16,-2.1,2.1,-5.7,4.6,0.0,비 눈 박무
136,2017,12,17,-5.1,0.4,-9.4,0.8,,비 박무 연무
137,2017,12,18,1.0,7.0,-6.4,5.5,0.0, 
138,2017,12,19,-2.1,3.6,-5.7,3.5,0.5,눈 박무
139,2017,12,20,-1.3,5.6,-8.3,4.9,1.8,비 눈 박무 연무
140,2017,12,21,-0.6,4.5,-3.9,2.5,,눈
141,2017,12,22,1.9,9.1,-3.9,4.3,, 
142,2017,12,23,3.9,11.5,-1.1,4.9,, 
143,2017,12,24,3.2,6.0,0.7,8.4,21.4, 
144,2017,12,25,-0.2,3.2,-2.8,2.1,,박무 연무
145,2017,12,26,-1.1,3.4,-5.1,3.6,0.3,눈 연무
146,2017,12,27,-5.1,0.5,-9.0,0.0,, 
147,2017,12,28,-1.6,3.0,-6.9,7.8,,눈 연무
148,2017,12,29,2.9,6.2,-0.5,8.9,0.0,비 눈 박무 연무
149,2017,12,30,3.5,7.6,0.1,7.6,0.9,눈 박무
150,2017,12,31,1.3,5.6,-2.2,2.8,0.5,안개 박무
151,2018,1,1,-0.7,4.9,-5.3,0.5,, 
152,2018,1,2,-1.0,4.1,-4.7,5.1,, 
153,2018,1,3,-2.4,2.7,-6.0,2.3,, 
154,2018,1,4,-2.9,-0.2,-6.3,7.8,,박무 연무 달무리
155,2018,1,5,-0.9,3.9,-3.7,4.1,,달무리
156,2018,1,6,-0.7,5.6,-5.0,0.0,, 
157,2018,1,7,-1.4,2.2,-6.6,6.9,, 
158,2018,1,8,1.5,2.6,-0.1,9.8,3.6, 
159,2018,1,9,-1.5,0.7,-3.6,9.0,2.5,박무 연무
160,2018,1,10,-5.1,-1.0,-9.0,7.3,2.6,눈 진눈깨비 박무 연무
161,2018,1,11,-9.3,-4.9,-12.6,4.9,0.0,눈 박무
162,2018,1,12,-8.4,-3.9,-13.7,4.5,0.0,눈 박무
163,2018,1,13,-2.2,4.3,-6.4,4.5,0.1,눈 박무
164,2018,1,14,-0.4,7.0,-7.3,3.6,,눈 박무
165,2018,1,15,5.5,11.0,0.8,5.6,,눈 박무 연무
166,2018,1,16,3.6,7.4,0.2,9.5,3.1,박무 연무
167,2018,1,17,4.2,6.0,2.5,9.4,11.2,박무 연무
168,2018,1,18,3.7,7.1,-0.1,6.9,0.0,비 박무 연무
169,2018,1,19,0.3,5.8,-3.6,2.4,,비 낮은안개 박무
170,2018,1,20,0.8,7.9,-4.8,3.8,,안개비 안개 박무 연무
171,2018,1,21,1.1,6.5,-4.0,4.8,,박무 연무
172,2018,1,22,3.0,8.3,-0.4,9.3,0.8,박무 연무
173,2018,1,23,-7.3,-0.4,-11.4,2.3,0.0,안개 박무 연무
174,2018,1,24,-11.7,-7.2,-15.4,0.4,,비 박무 연무
175,2018,1,25,-10.9,-5.6,-16.3,3.6,,눈 박무 연무
176,2018,1,26,-11.8,-5.1,-16.2,0.0,, 
177,2018,1,27,-8.5,-1.1,-15.6,2.8,, 
178,2018,1,28,-3.5,1.6,-7.1,4.9,, 
179,2018,1,29,-6.8,-2.5,-9.5,2.0,,박무
180,2018,1,30,-4.4,1.7,-11.7,2.3,, 
181,2018,1,31,-0.1,3.8,-3.4,7.0,, 
182,2018,2,1,-2.1,4.1,-6.6,0.0,, 
183,2018,2,2,-2.7,4.5,-9.0,2.6,, 
184,2018,2,3,-4.7,-1.4,-8.2,4.5,0.0, 
185,2018,2,4,-7.3,-2.5,-11.2,2.0,0.0, 
186,2018,2,5,-8.1,-2.4,-12.5,0.9,, 
187,2018,2,6,-8.2,-3.2,-13.2,2.5,0.2, 
188,2018,2,7,-7.3,0.0,-13.9,0.0,0.0, 
189,2018,2,8,-3.8,4.5,-11.2,0.0,, 
190,2018,2,9,1.4,9.0,-5.7,7.1,, 
191,2018,2,10,0.5,6.8,-5.2,6.4,, 
192,2018,2,11,-3.7,0.6,-7.7,7.1,1.0,눈
193,2018,2,12,-4.8,-0.4,-9.5,6.9,1.4,눈
194,2018,2,13,-0.8,4.4,-6.7,0.5,0.9, 
195,2018,2,14,5.6,11.6,-0.8,6.0,,소낙눈
196,2018,2,15,0.8,7.2,-3.2,5.1,,소낙눈 박무
197,2018,2,16,0.4,7.5,-5.2,3.3,,박무 연무
198,2018,2,17,-1.1,4.1,-4.9,2.9,,연무
199,2018,2,18,-0.1,4.3,-3.7,7.8,,박무 연무
200,2018,2,19,2.5,8.8,-3.4,5.6,,눈
201,2018,2,20,1.9,8.1,-3.3,4.5,,눈
202,2018,2,21,-0.1,5.4,-3.8,3.4,,눈 박무
203,2018,2,22,0.5,7.6,-7.3,2.6,0.0,박무 연무
204,2018,2,23,5.5,10.0,0.2,6.0,2.0,연무
205,2018,2,24,6.0,11.8,0.7,5.3,,연무
206,2018,2,25,4.0,11.1,-0.6,3.9,,연무
207,2018,2,26,4.0,13.0,-4.2,0.3,, 
208,2018,2,27,6.3,13.1,-1.9,5.8,,연무 햇무리
209,2018,2,28,5.3,9.9,1.4,9.8,35.0,박무 연무
210,2018,3,1,2.0,4.8,-3.2,5.5,1.0, 
211,2018,3,2,1.1,8.7,-6.2,0.3,, 
212,2018,3,3,8.6,18.7,-1.7,3.5,, 
213,2018,3,4,15.1,23.1,9.5,7.6,11.5, 
214,2018,3,5,6.6,14.5,3.3,8.9,18.6, 
215,2018,3,6,5.6,12.5,-0.4,1.5,, 
216,2018,3,7,6.1,10.2,3.2,7.8,4.0, 
217,2018,3,8,2.9,6.2,0.6,9.3,12.5, 
218,2018,3,9,3.3,6.4,0.5,6.3,,비 박무 연무
219,2018,3,10,4.1,11.5,-1.2,2.4,,연무
220,2018,3,11,7.7,14.8,2.2,3.3,, 
221,2018,3,12,8.6,17.6,0.1,0.0,,비 소나기
222,2018,3,13,12.4,20.8,2.9,3.6,,비 박무
223,2018,3,14,16.3,24.2,7.9,2.4,,박무
224,2018,3,15,13.7,15.8,10.6,10.0,16.6,비 박무
225,2018,3,16,6.6,10.8,3.1,6.1,0.1,비 눈 진눈깨비 박무
